minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6218051754729819,34.44666944596607,15.410263449367406,36.789026298618516,7.236953750200005,15.424116589185065,12.452519527696863,30.40136603276331
0,Marvin the Martian,0.6147415754452569,30.560907418162294,14.590692754961424,31.8614179739319,6.309705255215585,17.077559869936746,12.641747762071239,26.592286573002585
0,Road Runner,0.6135942367921299,23.97609943194695,14.500347974651863,38.16848266425323,5.757349092748261,26.412667794296294,9.823899265691654,20.152107452786073
0,Foghorn Leghorn,0.6357150452633081,31.05148209506493,15.283795138158476,31.063225342632077,6.318883512986019,18.760638535085413,12.134637476029978,25.22266738887779
0,Bugs Bunny,0.6258261461676513,33.44666112473222,15.67268612972435,36.851482356097286,4.896312851344547,17.920490384805603,15.12977156174916,33.18100567177247
0,Elmer Fudd,0.6014076265269783,29.550909198569812,15.946923935793633,32.20382402588458,3.004652543363885,22.49199065692943,13.257113443724228,23.514347247221853
0,Lola Bunny,0.6396212684727314,30.36127873429629,14.315053062823576,38.22310732386714,4.086694556912935,23.609084444068,14.816713987300707,31.484783011158736
0,Porky Pig,0.6124994773849005,30.557102136626042,17.027800224688,35.025771401934406,6.492955121893081,15.81673160616824,10.771061246419036,25.142617718343477
0,Tasmanian Devil,0.6048355388898355,26.374537936368757,15.151417228369425,34.60154347211225,5.416009493144736,25.317193661433954,10.388128067161809,18.93796507504197
0,Gossamer,0.6168951918991282,30.389718164615257,14.653371208310967,35.34043685892429,5.889379658623048,11.835906049559195,12.672254309980438,32.141981163773096
0,Granny,0.6134059526133895,32.473948635673715,14.628151118216776,33.21907465958255,5.079674596372054,16.25617920505087,14.251087976110126,30.548290426957205
0,Wile E. Coyote,0.6170827866970537,26.49056498258114,13.234917666641497,34.725307399884635,5.636669308790261,23.679322531504187,14.758553613398792,27.812604653090784
0,Tweety,0.6019484978394397,21.25155946189058,13.426335129457604,36.73530237497721,9.555601621666657,19.989714253860296,9.431839029524705,21.44061567246266
0,Penelope,0.6173590416277001,29.662004020552974,16.328047467288815,28.746487741793967,8.826352580542766,18.382744364877862,9.725502368815182,18.33257549287161
0,Daffy Duck,0.6217254956555297,27.193189901631854,15.870836925451913,30.740871899981734,6.8208771211191355,16.080551040850846,11.608007171020438,24.330010678909037
12,Sylvester,0.6243887147268912,30.534711654115362,14.180120527394799,37.038048917873816,7.4773439702855615,16.076606502863424,12.137426749120621,30.09514138217558
12,Marvin the Martian,0.602825210512779,28.56060606162318,15.031798118622733,32.94018358845839,6.284137292937407,24.741100225944376,13.19722724280973,22.148045958412343
12,Road Runner,0.6073415713966969,30.204485552302277,13.718667385326118,36.08197571073212,6.631693299749993,29.611837320280145,10.548814727076381,18.39850672355406
12,Foghorn Leghorn,0.614263087716282,30.65400312741885,15.402208011145994,33.77330079142561,4.366739410334519,24.175081201984135,13.944332824517225,25.16743766808089
12,Bugs Bunny,0.6228000060790194,35.24464078450441,15.550668525754793,31.323754956553515,6.203158082216711,19.90690519948928,15.168334839730417,28.43720642898
12,Elmer Fudd,0.6159672089068873,29.64554455511846,15.28355152534539,37.014301727048135,4.146866004335331,24.09481694508912,14.961882392652976,28.69002738664918
12,Lola Bunny,0.6504329313357844,35.04124902220473,15.29276652602416,35.57880745285643,3.20598329589574,22.7566049614505,15.380937216031342,31.96551534086905
12,Porky Pig,0.6244246845225542,26.395017406438896,16.340496798657504,35.25402548794929,7.482940036937555,20.344335364514958,13.436427876728587,26.57802486593467
12,Tasmanian Devil,0.5847475210507994,30.205930246489764,13.569146412128765,33.39377663369467,4.138312107502019,24.974515596243542,8.210101975280145,15.836968938081394
12,Gossamer,0.6239489072931617,30.91920651152071,16.416579979485793,32.78287922776957,7.524027656411997,13.365139421452842,15.381607366331728,32.48638607915086
12,Granny,0.6043192259223394,26.281629608288508,13.9827868914109,36.05648447395345,5.714327821443341,19.773379473075412,11.201875835979486,24.909622000527218
